tree	node	distance	d-025	d-975	brLen	speed	x-005	x-095	slower	faster
joyce2023	150	4793.605	2057.335	8984.991	7.369	650.493	2965.978	9216.218	0.114	0.020
joyce2023	151	11230.478	5899.005	18552.532	23.256	482.911	9416.222	20264.272	0.290	0.010
joyce2023	152	11321.895	6096.321	18724.678	23.256	486.842	9251.279	20652.710	0.251	0.008
joyce2023	153	879.730	122.612	2289.703	0.625	1407.568	333.585	2223.901	0.112	0.031
joyce2023	154	14572.393	8607.809	23992.239	31.875	457.173	14310.981	27019.132	0.472	0.005
joyce2023	155	15949.090	10006.640	25422.818	36.250	439.975	16223.776	30723.172	0.527	0.002
joyce2023	156	4942.352	2215.804	9256.491	9.375	527.184	3444.710	10704.408	0.169	0.007
joyce2023	157	11737.799	6873.196	19592.727	26.875	436.755	11192.981	23921.579	0.425	0.003
joyce2023	158	4314.262	1921.306	7742.438	7.500	575.235	3115.032	9524.966	0.189	0.003
joyce2023	159	8260.688	4538.653	14686.490	19.375	426.358	6977.527	17305.644	0.291	0.005
joyce2023	160	7649.249	3877.117	14303.170	19.375	394.800	7013.282	17381.669	0.388	0.005
joyce2023	161	856.199	119.642	2229.572	0.625	1369.918	222.390	2223.901	0.054	0.026
joyce2023	162	33293.338	22951.349	46957.267	67.500	493.235	32330.484	51450.312	0.441	0.005
joyce2023	163	1415.789	222.806	3566.412	1.875	755.088	444.780	3669.437	0.088	0.021
joyce2023	164	30253.132	20374.816	43881.574	65.625	461.000	31208.512	50564.799	0.560	0.002
joyce2023	165	2429.498	773.912	4775.811	2.500	971.799	1299.008	5080.210	0.120	0.014
joyce2023	166	18679.954	11819.580	29069.723	41.875	446.088	19107.554	34206.035	0.535	0.003
joyce2023	167	9035.932	4928.070	15826.373	21.250	425.220	8784.002	19343.602	0.462	0.003
joyce2023	168	9100.914	4923.064	16182.889	21.250	428.278	8732.456	19812.386	0.439	0.003
joyce2023	169	2608.429	933.908	5433.888	3.750	695.581	1445.543	5947.996	0.110	0.014
joyce2023	170	1611.774	265.291	4037.990	3.125	515.768	667.170	4892.583	0.123	0.006
joyce2023	171	25193.537	16870.917	37906.814	56.250	447.885	26701.729	44175.805	0.607	0.003
joyce2023	172	3162.419	1068.484	6437.028	5.625	562.208	1776.235	7112.875	0.127	0.009
joyce2023	173	24542.275	16615.700	35848.098	50.625	484.786	23748.412	40319.262	0.436	0.004
joyce2023	174	2371.090	735.090	5058.362	2.625	903.273	1328.413	5075.423	0.139	0.024
joyce2023	175	20717.342	13672.005	32216.748	48.000	431.611	21699.486	38265.748	0.573	0.002
joyce2023	176	1030.920	124.293	2810.205	1.000	1030.920	444.780	2779.877	0.164	0.028
joyce2023	177	1003.022	112.367	2912.506	1.000	1003.022	333.585	2779.877	0.090	0.036
joyce2023	178	24493.952	16672.719	34102.067	43.512	562.929	20687.499	35368.052	0.186	0.014
joyce2023	179	3305.636	335.165	5940.492	3.488	947.616	667.170	5003.778	0.064	0.071
joyce2023	180	3507.271	287.016	5900.967	3.488	1005.418	667.170	5114.973	0.068	0.068
joyce2023	181	5668.253	2534.253	11205.573	13.125	431.867	4687.517	13195.300	0.299	0.007
joyce2023	182	20118.471	12974.415	31314.010	46.250	434.994	21246.298	37323.699	0.594	0.002
joyce2023	183	6105.827	3055.497	10952.090	11.875	514.175	4783.852	13151.747	0.223	0.007
joyce2023	184	13668.860	8287.074	22941.205	34.375	397.640	14495.118	28353.401	0.591	0.002
joyce2023	185	4722.956	2098.159	8902.368	10.000	472.296	3611.442	11175.657	0.236	0.005
joyce2023	186	2749.398	968.302	5578.118	4.995	550.413	1662.527	6860.185	0.144	0.004
joyce2023	187	8229.844	4060.645	15318.738	19.380	424.660	6730.118	17584.495	0.276	0.007
joyce2023	188	7970.281	3959.530	14702.887	19.380	411.267	7288.988	17266.229	0.390	0.006
joyce2023	189	2709.748	916.167	5380.796	5.000	541.950	1459.983	6920.935	0.104	0.003
joyce2023	190	3341.543	1221.726	6657.832	6.875	486.043	2210.994	8639.388	0.185	0.003
joyce2023	191	5513.254	2495.875	10389.424	12.500	441.060	4540.130	12676.183	0.291	0.006
joyce2023	192	5231.684	2308.806	10084.278	12.500	418.535	4456.362	12735.622	0.339	0.005
joyce2023	193	3494.706	1235.990	7014.168	7.747	451.099	2409.247	9040.021	0.207	0.004
joyce2023	194	5426.406	2500.707	10754.789	11.628	466.671	3939.884	11955.303	0.193	0.011
